,Names,Profession,Height,Age,Nominated,Parents,Children,Picture,wikipedia_link
2479,Prem Kumar, Profession Actor ,N\A, Age 42 , Nominated For Filmfare Award for Best Actor – Kannada ,N\A,N\A,https://imgix.ranker.com/user_node_img/3175/63483748/original/prem-kumar-all-people-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,http://en.wikipedia.org/wiki/Prem_Kumar_(actor)
2480,Ramesh Bhat,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2481,Sheena Bajaj,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2482,Disco Shanti, Profession Actor ,N\A,N\A,N\A,N\A, Children Akshara ,N\A,http://en.wikipedia.org/wiki/Disco_Shanti
2483,Vikram Prabhu, Profession Actor ,N\A,N\A, Nominated For Vijay Award for Face of the Year , Parents Prabhu Punitha Prabhu ,N\A,https://imgix.ranker.com/user_node_img/3163/63241591/original/vikram-prabhu-all-people-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Vikram_Prabhu
2484,Sajith Raj, Profession Actor ,N\A, Age 35 ,N\A,N\A,N\A,N\A,http://en.wikipedia.org/wiki/Sajith_Raj
2485,Umashree, Profession Politician Actor ,N\A, Age 61 , Nominated For Filmfare Award for Best Supporting Actress – Kannada ,N\A, Children Gayathri Vijayakumar ,https://imgix.ranker.com/node_img/585/11694429/original/umashree-politicians-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Umashree
2486,Shashikumar, Profession Politician Actor ,N\A, Age 26 ,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Shashi_Kumar
2487,Akhila Sasidharan,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2488,Nivedita Joshi Saraf, Profession Actor ,N\A,N\A, Nominated For STAR Parivaar Award for Favourite Maa ,N\A,N\A,https://imgix.ranker.com/node_img/85/1684364/original/nivedita-joshi-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Nivedita_Joshi-Saraf
2489,Ilene Hamann,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2490,Sajid Ali,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2491,Vangara,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2492,Partha Akerkar,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2493,Nasha Gagnebin,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2494,Silajit Majumder, Profession Singer-songwriter Actor ,N\A, Age 53 ,N\A, Parents Arun Majumder , Children Dhee Majumdar ,N\A,https://en.wikipedia.org/wiki/Silajit_Majumder
2495,Anand Abhyankar, Profession Actor ,N\A, Age Dec. at 49 (1963-2012) ,N\A, Parents Ashadevi Moreshwar , Children Akshay Pendse ,N\A,http://en.wikipedia.org/wiki/Anand_Abhyankar
2496,Raavi Kondala Rao,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2497,Rushita Singh,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2498,Shazia,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2499,Gowri Pandit,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2500,Shaurya Chauhan,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2501,S.P. Sailaja,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2502,Mohan Segal,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2503,V. Manohar, Profession Film Score Composer Screenwriter Lyricist Cartoonist Actor Music Director Film Director ,N\A,N\A, Nominated For Filmfare Award for Best Lyricist – Kannada Filmfare Award for Best Music Director – Kannada ,N\A,N\A,N\A,https://en.wikipedia.org/wiki/V._Manohar
2504,Basanta Choudhury, Profession Actor Sheriff ,N\A, Age Dec. at 72 (1928-2000) ,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Basanta_Choudhury
2505,Pavel Marek,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2506,Deepti Gupta,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2507,Girija,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2508,Yaragudipati Varada Rao, Profession Actor Film Director ,N\A, Age Dec. at 70 (1903-1973) ,N\A,N\A, Children Lakshmi ,N\A,https://en.wikipedia.org/wiki/Yaragudipati_Varada_Rao
2509,Dayanand Shetty, Profession Actor , Height 1.88 , Age 49 ,N\A,N\A,N\A,https://imgix.ranker.com/user_node_img/3105/62088556/original/dayanand-shetty-people-in-tv-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Dayanand_Shetty
2510,Dada Kondke, Profession Film Producer Lyricist Actor Writer Film Director ,N\A, Age Dec. at 70 (1928-1998) , Nominated For Filmfare Award for Best Performance in a Comic Role ,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Dada_Kondke
2511,Aanchal Kumar,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2512,Bank Janardhan, Profession Actor ,N\A, Age 71 ,N\A,N\A,N\A,https://imgix.ranker.com/user_node_img/568/11349133/original/bank-janardhan-people-in-film-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Bank_Janardhan
2513,Debaki Bose, Profession Screenwriter Actor Film Director ,N\A, Age Dec. at 73 (1898-1971) , Nominated For National Film Award for Best Feature Film National Film Award for Best Feature Film in Bengali ,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Debaki_Bose
2514,Omkar Das Manikpuri, Profession Actor ,N\A, Age 49 , Nominated For Asian Film Award for Best Newcomer ,N\A,N\A,https://imgix.ranker.com/node_img/3109/62175836/original/omkar-das-manikpuri-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Omkar_Das_Manikpuri
2515,Natanya Singh,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2516,Jhanak Shukla, Profession Actor ,N\A, Age 23 , Nominated For STAR Parivaar Award for Favourite Jadooi Character ,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Jhanak_Shukla
2517,S. P. Pillai,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2518,Rao Rampilla,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2519,B. V. Karanth, Profession Film Score Composer Musician Actor Film Director ,N\A, Age Dec. at 73 (1929-2002) ,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/B._V._Karanth
2520,Srimurali, Profession Actor ,N\A,N\A,N\A, Parents S.A. Chinne Gowda ,N\A,https://imgix.ranker.com/user_node_img/3401/68013399/original/sri-murali-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,http://en.wikipedia.org/wiki/Srimurali
2521,Divya Palat, Profession Actor ,N\A,N\A,N\A,N\A,N\A,https://imgix.ranker.com/user_node_img/44/865778/original/divya-palat-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Divya_Palat
2522,Sanjiv Chopra,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2523,Atma Ram,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2524,Sambhavna Seth, Profession Actor ,N\A, Age 37 ,N\A,N\A,N\A,N\A,http://en.wikipedia.org/wiki/Sambhavna_Seth
2525,Ranjini, Profession Actor ,N\A, Age 49 ,N\A, Parents Lilly Selvaraj Mr. Selvaraj ,N\A,N\A,https://en.wikipedia.org/wiki/Ranjini_(actress)
2526,Chayan Sarkar,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2527,Shalini Chandran, Profession Model Actor ,N\A, Age 32 , Nominated For Indian Telly Award for Best Fresh New Face (Female) ,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Shalini_Chandran
2528,Sapan Saran,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2529,Anju Ghosh, Profession Actor ,N\A,N\A,N\A,N\A,N\A,N\A,http://en.wikipedia.org/wiki/Anju_Ghosh
2530,Ashok,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2531,Suja Varunee,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2532,Sanjeev,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2533,Partho Gupte,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2534,Ravi Dubey, Profession Actor ,N\A, Age 35 ,N\A,N\A,N\A,N\A,http://en.wikipedia.org/wiki/Ravi_Dubey
2535,Haranath,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2536,Ironleg Sastri,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2537,Anjana Bhowmick, Profession Actor ,N\A, Age 74 ,N\A, Parents Bibhuti Bhusan Bhowmik , Children Chandana Sharma Nilanjana Sharma ,N\A,https://en.wikipedia.org/wiki/Anjana_Bhowmick
2538,Sumitra Devi,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2539,Karan Arora, Profession Entrepreneur Film Producer Actor ,N\A, Age 45 ,N\A,N\A,N\A,https://imgix.ranker.com/node_img/3105/62091338/original/karan-arora-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Karan_Arora
2540,Vishakha Singh, Profession Film Producer Actor , Height 1.63 , Age 31 ,N\A,N\A,N\A,https://imgix.ranker.com/user_node_img/3165/63289759/original/vishakha-singh-people-in-film-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Vishakha_Singh
2541,Adoor Pankajam, Profession Actor ,N\A, Age Dec. at 85 (1925-2010) ,N\A,N\A,N\A,https://imgix.ranker.com/node_img/21/403295/original/adoor-pankajam-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Adoor_Pankajam
2542,Ramarajan, Profession Politician Actor ,N\A, Age 61 ,N\A,N\A, Children Aruna Subramanian Arun Ramarajan ,https://imgix.ranker.com/node_img/94/1870439/original/ramarajan-politicians-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Ramarajan
2543,Ashok Gaekwad, Profession Actor Film Director ,N\A,N\A, Nominated For Indian Telly Award for Director of the Year Indian Telly Award for Best Director (soap & drama) ,N\A,N\A,N\A,http://en.wikipedia.org/wiki/Ashok_Gaikwad
2544,Chippy, Profession Actor ,N\A, Age 43 , Nominated For Filmfare Award for Best Actress – Malayalam ,N\A, Children Avanthika ,N\A,https://en.wikipedia.org/wiki/Chippy_(actress)
2545,Shyam Ganesh,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2546,Parvathy Omanakuttan, Profession Actor ," Height 5'8"" ", Age 31 ,N\A,N\A,N\A,https://imgix.ranker.com/node_img/549/10969113/original/parvathy-omanakuttan-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Parvathy_Omanakuttan
2547,J. P. Chandrababu, Profession Comedian Actor Singer Film Director ,N\A, Age Dec. at 47 (1927-1974) ,N\A, Parents Roselin Fernando Joseph Pichai Rodriguez ,N\A,N\A,https://en.wikipedia.org/wiki/J._P._Chandrababu
2548,Begum Akhtar, Profession Actor Singer ,N\A, Age Dec. at 60 (1914-1974) ,N\A,N\A,N\A,https://imgix.ranker.com/user_node_img/29/561085/original/begum-akhtar-recording-artists-and-groups-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Begum_Akhtar
2549,Atul Mongia, Profession Casting Director Actor ,N\A, Age 40 ,N\A,N\A,N\A,N\A,http://en.wikipedia.org/wiki/Atul_Mongia
2550,Shobha,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2551,Danish Aslam,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2552,Trisha Ray, Profession Film Producer Screenwriter Film Editor Actor Film Director ,N\A,N\A,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Trisha_Ray
2553,Ustad Vilayat Khan, Profession Composer ,N\A, Age Dec. at 76 (1928-2004) ,N\A, Parents Enayat Khan Bashiran Begum , Children Hidayat Khan Zila Khan Yaman Khan Shujaat Khan ,https://imgix.ranker.com/user_node_img/117/2338355/original/ustad-vilayat-khan-recording-artists-and-groups-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Vilayat_Khan
2554,Saravanan,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2555,Meghna Kothari, Profession Actor ,N\A,N\A,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Meghna_Kothari
2556,Shaukat Hussain Rizvi,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2557,Gerson da Cunha, Profession Social Worker Author Actor ,N\A, Age 92 ,N\A,N\A,N\A,https://imgix.ranker.com/node_img/1603/32043597/original/gerson-da-cunha-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Gerson_da_Cunha
2558,Zia Mohiuddin Dagar, Profession Musician Singer ,N\A, Age Dec. at 61 (1929-1990) ,N\A, Parents Ustad Ziauddin Khansahib , Children Bahauddin Dagar ,https://imgix.ranker.com/node_img/123/2446308/original/z-m-dagar-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Zia_Mohiuddin_Dagar
2559,S. N. Lakshmi,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2560,Shakuntala Barua,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2561,Elsie Mackay, Profession Pilot Interior designer Actor ,N\A, Age Dec. at 35 (1893-1928) ,N\A, Parents James Mackay 1st Earl of Inchcape Jean Paterson Shanks ,N\A,N\A,https://en.wikipedia.org/wiki/Elsie_Mackay
2562,Donald Crowhurst, Profession Businessperson Politician Sailor ,N\A, Age Dec. at 37 (1932-1969) ,N\A,N\A, Children Simon Crowhurst ,https://imgix.ranker.com/node_img/44/875886/original/donald-crowhurst-politicians-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Donald_Crowhurst
2563,Jamling Tenzing Norgay,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2564,Azhagam Perumal,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2565,Jaddanbai, Profession Actor Singer Film Director ,N\A, Age Dec. at 57 (1892-1949) ,N\A, Parents Daleepabai Motilal Nehru , Children Anwar Hussain Nargis Akhtar Hussain ,N\A,https://en.wikipedia.org/wiki/Jaddanbai
2566,Appukutty, Profession Actor ,N\A,N\A, Nominated For National Film Award for Best Supporting Actor ,N\A,N\A,N\A,http://en.wikipedia.org/wiki/Appukutty
2567,Sachin Nag, Profession Actor Swimmer ,N\A, Age Dec. at 67 (1920-1987) ,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Sachin_Nag
2568,Kadhir,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2569,Dolon Roy,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2570,Arjun Sablok, Profession Screenwriter Actor Film Director ,N\A,N\A,N\A,N\A,N\A,N\A,http://en.wikipedia.org/wiki/Arjun_Sablok
2571,Master Vinayak,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2572,Honey Rose,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2573,Olga Dickie,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2574,Geeta Khanna, Profession Voice acting ,N\A, Age 64 ,N\A,N\A,N\A,N\A,http://en.wikipedia.org/wiki/Geeta_Khanna_(voice_actress)
2575,Karan Singh Grover, Profession Model Actor Presenter ," Height 5'9"" ", Age 36 , Nominated For Indian Telly Award for Best Actor in a Lead Role ,N\A,N\A,https://imgix.ranker.com/user_node_img/509/10174472/original/karan-singh-grover-people-in-tv-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Karan_Singh_Grover
2576,Shivkumar Sharma,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2577,Hiren Bose,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2578,Jomol, Profession Actor ,N\A, Age 36 ,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Jomol
2579,Sandhya Roy, Profession Actor ,N\A,N\A,N\A,N\A,N\A,https://imgix.ranker.com/node_img/99/1971082/original/sandhya-roy-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Sandhya_Roy
2580,Vidharth, Profession Actor ,N\A, Age 48 , Nominated For Vijay Award for Best Debut Actor ,N\A,N\A,https://imgix.ranker.com/user_node_img/3174/63465127/original/vidharth-all-people-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,http://en.wikipedia.org/wiki/Vidharth
2581,Aari, Profession Actor ,N\A,N\A,N\A,N\A,N\A,N\A,http://en.wikipedia.org/wiki/Aari_(actor)
2582,Uday Shankar, Profession Screenwriter Choreographer Actor Dancer Film Director ,N\A, Age Dec. at 77 (1900-1977) ,N\A, Parents Shyam Shankar Chowdhury Hemangini Devi , Children Mamata Shankar Ananda Shankar ,https://imgix.ranker.com/node_img/115/2295792/original/uday-shankar-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Uday_Shankar
2583,Fatafat Jayalaxmi, Profession Actor ,N\A, Age Dec. at 22 (1958-1980) ,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Fatafat_Jayalaxmi
2584,VTV Ganesh,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2585,Vanamala,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2586,Prem Adib,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2587,David Garth,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2588,Shweta Kawatra, Profession Model Actor Presenter ,N\A,N\A, Nominated For Indian Telly Award for Best Actress in a Negative Role Indian Telly Award for Best Actress in a Comic Role ,N\A, Children Zahra ,https://imgix.ranker.com/user_node_img/609/12162236/original/shweta-kawatra-people-in-tv-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Shweta_Kawatra
2589,Elango Kumaravel,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2590,Chitra Sen, Profession Actor Dancer ,N\A, Age 84 ,N\A, Parents Arati Mandal Panchu Gopal Mandal , Children Kaushik Sen ,https://imgix.ranker.com/user_node_img/3691/73800844/original/chitra-sen-people-in-film-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,http://en.wikipedia.org/wiki/Chitra_Sen
2591,Karibasavaiah, Profession Actor ,N\A, Age Dec. at 53 (1959-2012) ,N\A,N\A, Children Radha ,https://imgix.ranker.com/user_node_img/3701/74005707/original/karibasavaiah-people-in-film-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,http://en.wikipedia.org/wiki/Karibasavaiah
2592,Smriti Mishra, Profession Actor ,N\A,N\A,N\A,N\A,N\A,https://imgix.ranker.com/node_img/3111/62212528/original/smriti-mishra-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Smriti_Mishra
2593,Zainuddin,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2594,Riju Bajaj,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2595,Remi Kaler,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2596,Satish Rajwade,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2597,Santhosh Jogi, Profession Actor ,N\A, Age Dec. at 35 (1975-2010) ,N\A, Parents Komattil Malathi Amma Purathu Sethumadhavan , Children Chithralekha Jogi Kapila Jogi ,https://imgix.ranker.com/node_img/3111/62213162/original/santhosh-jogi-all-people-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Santhosh_Jogi
2598,Sulakshana, Profession Actor ,N\A,N\A,N\A,N\A,N\A,https://imgix.ranker.com/user_node_img/2177/43526423/original/sulakshana-people-in-film-photo-u2?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Sulakshana_(actress)
2599,Roop Kumar Rathod,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2600,M.S. Thripunithura, Profession Actor ,N\A, Age Dec. at 65 (1941-2006) ,N\A,N\A,N\A,https://imgix.ranker.com/node_img/1651/33003893/original/m-s-thripunithura-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/M._S._Thripunithura
2601,Sillo Mahava,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2602,Rajasree,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2603,Nivedita Tiwari,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2604,Sricharan, Profession Actor ,N\A, Age 33 ,N\A,N\A,N\A,N\A,http://en.wikipedia.org/wiki/Sricharan
2605,Gautham Karthik,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2606,Sanjeev Mulchandani,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2607,Rakul Preet Singh, Profession Actor ,N\A, Age 28 , Nominated For Filmfare Award for Best Actress – Telugu ,N\A,N\A,https://imgix.ranker.com/user_node_img/3686/73719601/original/rakul-preet-singh-people-in-film-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,http://en.wikipedia.org/wiki/Rakul_Preet_Singh
2608,Anchal Sabharwal,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2609,Ayaz Khan,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2610,Shantipriya,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2611,A. M. Rajah, Profession Film Score Composer Actor Playback singer Music Director ,N\A, Age Dec. at 60 (1929-1989) ,N\A, Parents Lakshmamma Manmadharaju ,N\A,https://imgix.ranker.com/user_node_img/1557/31125873/original/a-m-rajah-recording-artists-and-groups-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/A._M._Rajah
2612,Ajit Deol,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2613,Chandrabati Devi,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2614,Mayur Puri, Profession Film Score Composer Screenwriter Actor ,N\A, Age 41 , Nominated For Filmfare Award for Best Dialogue ,N\A,N\A,N\A,http://en.wikipedia.org/wiki/Mayur_Puri
2615,V.N. Aditya,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2616,Deepu, Profession Actor Playback singer ,N\A, Age 32 , Nominated For Filmfare Award for Best Male Playback Singer – Telugu ,N\A,N\A,N\A,http://en.wikipedia.org/wiki/Deepu
2617,Mikkilineni,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2618,Sonali Khare, Profession Actor ,N\A,N\A,N\A,N\A, Children Sanaya Anand ,https://imgix.ranker.com/node_img/3102/62037243/original/sonali-khare-people-in-tv-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,http://en.wikipedia.org/wiki/Sonali_Khare
2619,Tarun Chandra, Profession Actor ,N\A, Age 35 , Nominated For Filmfare Award for Best Actor – Kannada ,N\A,N\A,N\A,http://en.wikipedia.org/wiki/Tarun_Chandra
2620,Pariva Pranati, Profession Actor ,N\A, Age 35 ,N\A,N\A,N\A,N\A,http://en.wikipedia.org/wiki/Pariva_Pranati
2621,Nadira Babbar, Profession Theater Performer Screenwriter Actor ,N\A, Age 71 ,N\A, Parents Razia Sajjad Zaheer Sajjad Zaheer , Children Juhi Babbar Arya Babbar ,N\A,https://en.wikipedia.org/wiki/Nadira_Babbar
2622,Raghunath Jhalani,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2623,Gillian Lind,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2624,Bhagwati Prasad Mishra,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2625,Shubha Phutela,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2626,Puvvula Suri Babu, Profession Record producer Actor Singer ,N\A, Age Dec. at 53 (1915-1968) ,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Puvvula_Suri_Babu
2627,Shakti Singh, Profession Actor Voice acting ,N\A,N\A,N\A,N\A,N\A,N\A,http://en.wikipedia.org/wiki/Shakti_Singh_(actor)
2628,Abhishek Kapoor, Profession Screenwriter Actor Film Director ,N\A, Age 47 , Nominated For Filmfare Award for Best Director ,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Abhishek_Kapoor
2629,Dukhiram Swain, Profession Actor ,N\A,N\A,N\A,N\A, Children Akash Kumar Swain Prithiviraj Swain Dharitri (Swain) Das ,N\A,http://en.wikipedia.org/wiki/Dukhiram_Swain
2630,Indubala,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2631,Yash Pandit,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2632,Soham Chakraborty,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2633,Rachna Shah,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2634,Neeraj Kumar, Profession Filmmaking Actor Film Director ,N\A,N\A,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Neeraj_Kumar
2635,Nishan, Profession Actor ,N\A, Age 33 ,N\A,N\A,N\A,https://imgix.ranker.com/user_node_img/3111/62205851/original/nishan-k-p-nanaiah-all-people-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Nishan_(actor)
2636,Srijit Mukherji, Profession Screenwriter Lyricist Actor Economist Film Director ,N\A, Age 41 ,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Srijit_Mukherji
2637,Arjun Chakraborty, Profession Actor ,N\A,N\A,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Arjun_Chakraborty
2638,Kultar Gill,N\A, Height 1.83 , Age 40 ,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Kultar_Gill
2639,K. Sarangkapani,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2640,Idavela Babu,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2641,Asha Puthli, Profession Singer ,N\A,N\A,N\A,N\A,N\A,https://imgix.ranker.com/node_img/26/500507/original/asha-puthli-recording-artists-and-groups-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Asha_Puthli
2642,Anjali Patil, Profession Model Actor ,N\A, Age 32 ,N\A, Parents Shubha Shinde Sanjay Shinde ,N\A,N\A,http://en.wikipedia.org/wiki/Anjali_Patil
2643,Suchitra Mitra, Profession Actor Singer ,N\A, Age Dec. at 87 (1924-2011) ,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Suchitra_Mitra
